Age (groups),Attrition,BusinessTravel,Department,Sum of DistanceFromHome (KM),Sum of Actual years at company,Sum of Age,EducationField,EducationLevelID,EmployeeID,Ethnicity,FirstName,Gender,Year,Quarter,Month,Day,JobRole,LastName,MaritalStatus,OverTime,Sum of Salary,Salary (grouping),State,Sum of StockOptionLevel,Sum of YearsAtCompany,Sum of YearsInMostRecentRole,Sum of YearsSinceLastPromotion,Sum of YearsWithCurrManager,DistanceFromHome (KM) (bins)
30 to 40,No,Some Travel,Technology,33,0.43,40,Business Studies,3,4044-F6D4,White,Erny,Male,2022,Qtr 3,July,26,Senior Software Engineer,Waywell,Single,Yes,271683,D- 225K to 300K,CA,1,0,0,0,0,23
30 to 40,No,Some Travel,Technology,25,3.4,31,Business Studies,3,9071-14B2,Black or African American,Griffie,Male,2019,Qtr 3,August,7,Machine Learning Engineer,Bugge,Single,No,157676,C- 150K to 225K,CA,0,3,0,2,1,23
30 to 40,No,Some Travel,Technology,39,1.26,32,Business Studies,3,AF04-23EA,White,Obadiah,Male,2021,Qtr 3,September,28,Analytics Manager,Van Schafflaer,Married,No,253019,D- 225K to 300K,NY,0,1,0,0,0,34
30 to 40,No,Some Travel,Technology,14,4.39,36,Business Studies,3,F72B-49FF,American Indian or Alaska Native,Gerianne,Female,2018,Qtr 3,August,12,Machine Learning Engineer,Tidbold,Married,No,251681,D- 225K to 300K,CA,1,4,2,3,3,12
30 to 40,No,Some Travel,Technology,31,8.44,32,Business Studies,4,5C7B-86C0,White,Jeanie,Female,2014,Qtr 3,July,26,Senior Software Engineer,Geater,Married,No,186169,C- 150K to 225K,NY,0,8,2,6,0,23
30 to 40,No,Some Travel,Technology,22,9.66,32,Business Studies,4,F838-C681,Black or African American,Shay,Male,2013,Qtr 2,May,6,Software Engineer,Casburn,Married,No,72688,B- 70K to 150K,IL,1,9,3,3,8,12
30 to 40,No,Some Travel,Technology,39,10.65,32,Computer Science,1,4404-DE5A,Asian or Asian American,Karina,Female,2012,Qtr 2,May,10,Software Engineer,Weddup,Single,No,68256,A- 20K to 70K,CA,0,10,7,9,6,34
30 to 40,No,Some Travel,Technology,26,9.62,30,Computer Science,1,5818-560C,Black or African American,Donny,Female,2013,Qtr 2,May,22,Senior Software Engineer,Tosh,Divorced,No,159438,C- 150K to 225K,CA,2,9,4,4,7,23
30 to 40,No,Some Travel,Technology,9,10.85,40,Computer Science,1,586E-5C14,Black or African American,Gunther,Male,2012,Qtr 1,February,27,Software Engineer,Keays,Single,No,58551,A- 20K to 70K,NY,0,10,6,7,3,1
30 to 40,No,Some Travel,Technology,30,10.68,30,Computer Science,1,A9EB-9E41,Asian or Asian American,Jacki,Female,2012,Qtr 2,April,30,Machine Learning Engineer,Mitro,Married,No,228438,D- 225K to 300K,NY,1,10,6,9,10,23
30 to 40,No,Some Travel,Technology,34,10.78,39,Computer Science,1,AEDB-BB62,Mixed or multiple ethnic groups,Munmro,Male,2012,Qtr 1,March,23,Machine Learning Engineer,Ledamun,Divorced,No,264285,D- 225K to 300K,CA,1,10,10,10,1,34
30 to 40,No,Some Travel,Technology,6,10.82,30,Computer Science,2,00A3-2445,Black or African American,Wyatt,Male,2012,Qtr 1,March,8,Machine Learning Engineer,Ziehm,Married,No,126238,B- 70K to 150K,CA,0,10,3,6,6,1
30 to 40,No,Some Travel,Technology,12,1.13,30,Computer Science,2,11F9-3526,White,Carolan,Female,2021,Qtr 4,November,14,Senior Software Engineer,Pigny,Married,No,264407,D- 225K to 300K,IL,1,1,1,1,0,12
30 to 40,No,Some Travel,Technology,20,8.36,31,Computer Science,2,6C86-3DC0,Black or African American,Benton,Male,2014,Qtr 3,August,22,Senior Software Engineer,Irdale,Divorced,Yes,149482,B- 70K to 150K,CA,1,8,3,7,2,12
30 to 40,No,Some Travel,Technology,44,10.88,40,Computer Science,2,9C71-34AE,White,Yvor,Non-Binary,2012,Qtr 1,February,15,Software Engineer,Walaron,Single,No,69119,A- 20K to 70K,CA,0,10,8,10,5,34
30 to 40,No,Some Travel,Technology,35,9.91,36,Computer Science,2,AF58-5D1B,White,Jeri,Female,2013,Qtr 1,February,5,Software Engineer,MacDiarmid,Married,No,60585,A- 20K to 70K,NY,2,9,0,7,9,34
30 to 40,No,Some Travel,Technology,4,1.63,35,Computer Science,2,AFC3-E23F,White,Julissa,Female,2021,Qtr 2,May,14,Data Scientist,Fosbraey,Single,No,423941,Over 300K,CA,0,1,1,1,1,1
30 to 40,No,Some Travel,Technology,36,10.68,32,Computer Science,2,B785-D8F8,Black or African American,Ruprecht,Male,2012,Qtr 2,April,29,Software Engineer,Blatchford,Single,No,78672,B- 70K to 150K,CA,0,10,6,9,5,34
30 to 40,No,Some Travel,Technology,2,2.77,36,Computer Science,2,D4DF-162F,White,Perla,Female,2020,Qtr 1,March,25,Engineering Manager,Vivyan,Divorced,Yes,247730,D- 225K to 300K,IL,1,2,2,2,0,1
30 to 40,No,Some Travel,Technology,39,8.72,40,Computer Science,2,D926-DED9,White,Sancho,Male,2014,Qtr 2,April,14,Analytics Manager,Rawlingson,Divorced,No,409998,Over 300K,CA,2,8,3,6,3,34
30 to 40,No,Some Travel,Technology,2,9.76,32,Computer Science,2,DF11-9C46,Mixed or multiple ethnic groups,Dulci,Female,2013,Qtr 1,March,30,Software Engineer,Sheryn,Single,Yes,152314,C- 150K to 225K,CA,0,9,4,6,0,1
30 to 40,No,Some Travel,Technology,41,10.62,34,Computer Science,3,041A-31B0,Black or African American,Gerri,Female,2012,Qtr 2,May,20,Software Engineer,Fullerlove,Married,No,50386,A- 20K to 70K,NY,1,10,8,9,10,34
30 to 40,No,Some Travel,Technology,16,1.57,32,Computer Science,3,0D60-C312,White,Erica,Female,2021,Qtr 2,June,6,Machine Learning Engineer,Delany,Married,Yes,228427,D- 225K to 300K,IL,1,1,1,1,1,12
30 to 40,No,Some Travel,Technology,21,2.82,31,Computer Science,3,0E85-1FC5,White,Pet,Female,2020,Qtr 1,March,8,Senior Software Engineer,Dow,Divorced,No,127182,B- 70K to 150K,CA,1,2,0,0,1,12
30 to 40,No,Some Travel,Technology,3,10.97,37,Computer Science,3,111D-E5EF,White,Edna,Non-Binary,2012,Qtr 1,January,15,Software Engineer,Alison,Divorced,No,48395,A- 20K to 70K,IL,1,10,2,2,4,1
30 to 40,No,Some Travel,Technology,29,9.33,37,Computer Science,3,134B-4157,White,Stearne,Male,2013,Qtr 3,September,3,Analytics Manager,Axelbee,Married,No,513608,Over 300K,IL,0,9,4,7,3,23
30 to 40,No,Some Travel,Technology,24,8.06,34,Computer Science,3,1B7F-73A9,Asian or Asian American,Jacques,Male,2014,Qtr 4,December,10,Software Engineer,Verne,Married,No,42721,A- 20K to 70K,CA,1,8,3,3,7,23
30 to 40,No,Some Travel,Technology,18,5.92,34,Computer Science,3,1D87-3372,White,Cynthea,Prefer Not To Say,2017,Qtr 1,February,1,Engineering Manager,Manilove,Divorced,No,323488,Over 300K,CA,1,5,0,1,1,12
30 to 40,No,Some Travel,Technology,29,8.79,37,Computer Science,3,4565-62DE,Mixed or multiple ethnic groups,Travis,Male,2014,Qtr 1,March,18,Machine Learning Engineer,Janota,Single,No,155506,C- 150K to 225K,IL,0,8,8,8,8,23
30 to 40,No,Some Travel,Technology,12,10.99,39,Computer Science,3,47A0-559B,White,Ermentrude,Non-Binary,2012,Qtr 1,January,5,Engineering Manager,Berrie,Married,No,293132,D- 225K to 300K,IL,0,10,10,10,0,12
30 to 40,No,Some Travel,Technology,36,10,33,Computer Science,3,7C80-94E0,Asian or Asian American,Celie,Female,2013,Qtr 1,January,1,Machine Learning Engineer,Jedrys,Single,No,88726,B- 70K to 150K,CA,0,9,8,8,6,34
30 to 40,No,Some Travel,Technology,3,9.94,39,Computer Science,3,86E2-73D1,Black or African American,Purcell,Male,2013,Qtr 1,January,24,Machine Learning Engineer,Keig,Single,No,81115,B- 70K to 150K,CA,0,9,2,4,0,1
30 to 40,No,Some Travel,Technology,33,9.73,30,Computer Science,3,8ED3-4377,White,Giusto,Male,2013,Qtr 2,April,9,Software Engineer,Raynes,Single,No,78743,B- 70K to 150K,CA,0,9,2,7,4,23
30 to 40,No,Some Travel,Technology,39,9.48,31,Computer Science,3,9C57-828C,American Indian or Alaska Native,Stearn,Male,2013,Qtr 3,July,11,Senior Software Engineer,Bever,Single,No,242890,D- 225K to 300K,IL,0,9,3,3,9,34
30 to 40,No,Some Travel,Technology,40,10.66,34,Computer Science,3,A4A4-F49C,White,Nichols,Male,2012,Qtr 2,May,6,Senior Software Engineer,Baty,Married,No,97542,B- 70K to 150K,IL,3,10,10,10,7,34
30 to 40,No,Some Travel,Technology,29,4.18,40,Computer Science,3,ADA1-966E,White,Christian,Female,2018,Qtr 4,October,27,Engineering Manager,Tinson,Married,Yes,304343,Over 300K,CA,1,4,2,4,0,23
30 to 40,No,Some Travel,Technology,32,10.84,36,Computer Science,3,C0A1-EB7D,Asian or Asian American,Leona,Female,2012,Qtr 1,March,2,Senior Software Engineer,McKnish,Married,No,111294,B- 70K to 150K,CA,1,10,8,8,10,23
30 to 40,No,Some Travel,Technology,41,10.64,36,Computer Science,3,C385-CDBE,White,Filide,Female,2012,Qtr 2,May,14,Machine Learning Engineer,Dinnies,Single,Yes,218940,C- 150K to 225K,NY,0,10,6,8,5,34
30 to 40,No,Some Travel,Technology,22,1.84,37,Computer Science,3,C4F0-F933,White,Vassily,Male,2021,Qtr 1,March,1,Senior Software Engineer,Bazoge,Married,Yes,193287,C- 150K to 225K,IL,1,1,0,1,0,12
30 to 40,No,Some Travel,Technology,19,1.81,30,Computer Science,3,C768-BBF8,White,Carine,Female,2021,Qtr 1,March,11,Senior Software Engineer,Molfino,Divorced,No,125751,B- 70K to 150K,CA,1,1,0,1,1,12
30 to 40,No,Some Travel,Technology,10,8.53,31,Computer Science,3,CC7A-EE97,White,Ryan,Male,2014,Qtr 2,June,24,Senior Software Engineer,Gaffey,Married,No,168087,C- 150K to 225K,IL,1,8,4,7,3,1
30 to 40,No,Some Travel,Technology,11,4.52,36,Computer Science,3,CCE7-36ED,Asian or Asian American,Dwain,Male,2018,Qtr 2,June,26,Machine Learning Engineer,Nias,Married,No,236739,D- 225K to 300K,NY,2,4,3,4,3,1
30 to 40,No,Some Travel,Technology,43,8.53,36,Computer Science,3,CED0-8D31,Black or African American,Dulci,Female,2014,Qtr 2,June,24,Analytics Manager,Berthot,Single,No,454993,Over 300K,CA,0,8,3,4,0,34
30 to 40,No,Some Travel,Technology,39,10.78,38,Computer Science,3,D696-9D82,White,Eberto,Male,2012,Qtr 1,March,25,Data Scientist,Flaherty,Single,No,65416,A- 20K to 70K,NY,0,10,5,10,7,34
30 to 40,No,Some Travel,Technology,17,8.83,36,Computer Science,3,F98B-61B3,Asian or Asian American,Candis,Female,2014,Qtr 1,March,4,Data Scientist,Defew,Single,No,72118,B- 70K to 150K,CA,0,8,7,7,8,12
30 to 40,No,Some Travel,Technology,42,5.05,31,Computer Science,3,FB4B-067E,White,Adan,Female,2017,Qtr 4,December,15,Engineering Manager,Sunderland,Married,Yes,442820,Over 300K,NY,0,5,1,2,2,34
30 to 40,No,Some Travel,Technology,31,8.3,35,Computer Science,4,0240-4D29,Asian or Asian American,Kaylil,Non-Binary,2014,Qtr 3,September,13,Software Engineer,Blenkiron,Single,No,77269,B- 70K to 150K,CA,0,8,8,8,6,23
30 to 40,No,Some Travel,Technology,36,10.83,35,Computer Science,4,132B-F2B2,White,Erica,Female,2012,Qtr 1,March,4,Software Engineer,Dracksford,Married,Yes,59086,A- 20K to 70K,CA,1,10,2,8,4,34
30 to 40,No,Some Travel,Technology,30,9.07,40,Computer Science,4,1C24-233B,Mixed or multiple ethnic groups,Mendy,Non-Binary,2013,Qtr 4,December,9,Machine Learning Engineer,Beran,Married,No,145328,B- 70K to 150K,IL,1,9,0,9,9,23
30 to 40,No,Some Travel,Technology,40,8.96,33,Computer Science,4,2551-DD9B,Black or African American,Quintana,Female,2014,Qtr 1,January,15,Senior Software Engineer,Di Franceshci,Single,No,181244,C- 150K to 225K,IL,0,8,4,8,8,34
30 to 40,No,Some Travel,Technology,44,0.28,35,Computer Science,4,372C-E204,White,Doralia,Female,2022,Qtr 3,September,21,Data Scientist,Vassie,Single,Yes,455643,Over 300K,NY,1,0,0,0,0,34
30 to 40,No,Some Travel,Technology,40,4.45,40,Computer Science,4,3EAA-95E5,White,Beatrix,Non-Binary,2018,Qtr 3,July,20,Machine Learning Engineer,Epelett,Divorced,No,265523,D- 225K to 300K,CA,1,4,1,3,1,34
30 to 40,No,Some Travel,Technology,14,10.76,30,Computer Science,4,5222-EBE1,Asian or Asian American,Saxe,Male,2012,Qtr 2,April,1,Machine Learning Engineer,Theodoris,Married,No,194823,C- 150K to 225K,CA,1,10,4,9,8,12
30 to 40,No,Some Travel,Technology,40,10.72,38,Computer Science,4,58C8-63FA,White,Pierce,Male,2012,Qtr 2,April,15,Senior Software Engineer,Birkby,Divorced,No,126505,B- 70K to 150K,CA,1,10,1,5,8,34
30 to 40,No,Some Travel,Technology,38,8.11,30,Computer Science,4,5E9A-FE30,White,Lindy,Female,2014,Qtr 4,November,24,Data Scientist,Carratt,Married,Yes,88609,B- 70K to 150K,CA,1,8,4,4,1,34
30 to 40,No,Some Travel,Technology,8,3.57,35,Computer Science,4,6BAB-8D77,Black or African American,Josh,Male,2019,Qtr 2,June,7,Analytics Manager,Tomczykowski,Married,No,405965,Over 300K,CA,1,3,1,2,0,1
30 to 40,No,Some Travel,Technology,7,9.42,32,Computer Science,4,7349-CCE0,Mixed or multiple ethnic groups,Elisabeth,Female,2013,Qtr 3,July,31,Software Engineer,Pettyfar,Divorced,No,85568,B- 70K to 150K,CA,1,9,7,9,1,1
30 to 40,No,Some Travel,Technology,42,10.98,32,Computer Science,4,73CF-4956,White,Hannis,Female,2012,Qtr 1,January,12,Data Scientist,Waslin,Single,No,102022,B- 70K to 150K,CA,0,10,4,5,8,34
30 to 40,No,Some Travel,Technology,19,1.83,35,Computer Science,4,76FD-F574,White,Chucho,Male,2021,Qtr 1,March,3,Machine Learning Engineer,Herries,Married,No,286432,D- 225K to 300K,NY,1,1,0,1,0,12
30 to 40,No,Some Travel,Technology,7,10.72,36,Computer Science,4,AB5F-244C,Black or African American,Horst,Male,2012,Qtr 2,April,14,Data Scientist,Mynett,Divorced,No,73643,B- 70K to 150K,CA,1,10,0,7,9,1
30 to 40,No,Some Travel,Technology,21,8.69,36,Computer Science,4,AF77-0F6B,Mixed or multiple ethnic groups,Germana,Female,2014,Qtr 2,April,24,Software Engineer,Ludlom,Divorced,No,57327,A- 20K to 70K,CA,2,8,5,8,4,12
30 to 40,No,Some Travel,Technology,26,9.08,30,Computer Science,4,B52E-BF41,Black or African American,Salomi,Female,2013,Qtr 4,December,4,Data Scientist,Finlry,Married,No,36280,A- 20K to 70K,NY,2,9,9,9,9,23
30 to 40,No,Some Travel,Technology,20,9.17,32,Computer Science,4,C730-6B13,Native Hawaiian,Ariadne,Female,2013,Qtr 4,October,31,Data Scientist,Isakov,Single,No,85884,B- 70K to 150K,IL,0,9,9,9,5,12
30 to 40,No,Some Travel,Technology,3,2.22,33,Computer Science,4,DE9A-5E67,White,Mirabel,Female,2020,Qtr 4,October,12,Engineering Manager,Scotter,Single,No,307688,Over 300K,CA,0,2,2,2,0,1
30 to 40,No,Some Travel,Technology,32,8.15,30,Computer Science,4,DEB9-1BBF,Asian or Asian American,Edna,Female,2014,Qtr 4,November,10,Software Engineer,Petrello,Single,No,155259,C- 150K to 225K,NY,0,8,3,5,6,23
30 to 40,No,Some Travel,Technology,30,8.03,32,Computer Science,4,FAC0-942B,Black or African American,Darbee,Male,2014,Qtr 4,December,21,Software Engineer,Larmor,Married,Yes,48377,A- 20K to 70K,CA,1,8,5,5,6,23
30 to 40,No,Some Travel,Technology,42,9.8,30,Computer Science,5,B3FE-D332,White,Josephine,Female,2013,Qtr 1,March,15,Software Engineer,Stickley,Married,No,93181,B- 70K to 150K,CA,0,9,8,9,4,34
30 to 40,No,Some Travel,Technology,33,2.5,37,Information Systems,1,3B2D-9E60,White,Flora,Female,2020,Qtr 2,June,30,Senior Software Engineer,Kowalski,Married,No,236732,D- 225K to 300K,CA,1,2,2,2,2,23
30 to 40,No,Some Travel,Technology,19,3.73,31,Information Systems,1,3EDA-3BDE,White,Raynard,Male,2019,Qtr 2,April,9,Engineering Manager,Revie,Single,No,371727,Over 300K,CA,0,3,2,3,2,12
30 to 40,No,Some Travel,Technology,7,9.57,30,Information Systems,1,45D2-369E,White,Melvin,Male,2013,Qtr 2,June,7,Data Scientist,McGeneay,Married,No,70182,B- 70K to 150K,CA,1,9,8,9,8,1
30 to 40,No,Some Travel,Technology,5,10.91,34,Information Systems,1,5C61-8F3A,White,Dyana,Female,2012,Qtr 1,February,6,Data Scientist,Gallie,Single,Yes,127432,B- 70K to 150K,CA,0,10,8,9,9,1
30 to 40,No,Some Travel,Technology,31,8.55,33,Information Systems,1,9CE9-B0D5,White,Hilary,Male,2014,Qtr 2,June,15,Data Scientist,McPhee,Married,No,60754,A- 20K to 70K,CA,1,8,7,8,1,23
30 to 40,No,Some Travel,Technology,8,8.85,31,Information Systems,1,9D01-8A02,White,Garrett,Male,2014,Qtr 1,February,24,Software Engineer,Forrester,Single,No,70682,B- 70K to 150K,IL,0,8,4,8,2,1
30 to 40,No,Some Travel,Technology,30,1.62,32,Information Systems,1,A2AE-FD61,White,Conrado,Male,2021,Qtr 2,May,18,Data Scientist,Brearley,Married,No,89960,B- 70K to 150K,CA,3,1,0,1,1,23
30 to 40,No,Some Travel,Technology,6,1.64,31,Information Systems,1,B347-DA2D,White,Linus,Male,2021,Qtr 2,May,10,Analytics Manager,Darragh,Married,No,376853,Over 300K,CA,1,1,1,1,0,1
30 to 40,No,Some Travel,Technology,17,9.82,40,Information Systems,1,F997-FE6C,White,Meryl,Female,2013,Qtr 1,March,8,Software Engineer,Slucock,Married,No,41601,A- 20K to 70K,NY,0,9,8,9,8,12
30 to 40,No,Some Travel,Technology,33,9.02,30,Information Systems,2,0F83-39C1,Black or African American,Samantha,Female,2013,Qtr 4,December,25,Software Engineer,Beames,Single,No,55485,A- 20K to 70K,CA,0,9,8,9,2,23
30 to 40,No,Some Travel,Technology,38,1.56,40,Information Systems,2,1A82-AF2C,White,Keriann,Female,2021,Qtr 2,June,9,Senior Software Engineer,Umbers,Married,Yes,380248,Over 300K,CA,0,1,0,1,1,34
30 to 40,No,Some Travel,Technology,14,9.6,34,Information Systems,2,2523-EFD4,White,Vanny,Female,2013,Qtr 2,May,27,Senior Software Engineer,Ruggen,Single,No,154405,C- 150K to 225K,NY,0,9,7,7,1,12
30 to 40,No,Some Travel,Technology,19,3.63,35,Information Systems,2,2C0F-AAE2,American Indian or Alaska Native,Norton,Non-Binary,2019,Qtr 2,May,16,Senior Software Engineer,Rigolle,Married,Yes,187372,C- 150K to 225K,CA,0,3,1,1,2,12
30 to 40,No,Some Travel,Technology,22,9.35,37,Information Systems,2,5B0E-31FB,White,Hasheem,Male,2013,Qtr 3,August,26,Software Engineer,Mance,Single,No,45927,A- 20K to 70K,NY,0,9,5,6,6,12
30 to 40,No,Some Travel,Technology,33,9.18,39,Information Systems,2,6CAD-47F0,Mixed or multiple ethnic groups,Tommy,Male,2013,Qtr 4,October,29,Machine Learning Engineer,Cawthorn,Married,No,99602,B- 70K to 150K,NY,0,9,5,8,4,23
30 to 40,No,Some Travel,Technology,10,9.5,39,Information Systems,2,7F1C-20B8,Mixed or multiple ethnic groups,Page,Female,2013,Qtr 3,July,2,Data Scientist,Sculpher,Divorced,No,65796,A- 20K to 70K,CA,1,9,9,9,5,1
30 to 40,No,Some Travel,Technology,41,10.78,34,Information Systems,2,88B8-EB84,Black or African American,Crystal,Female,2012,Qtr 1,March,24,Engineering Manager,McLleese,Divorced,No,357371,Over 300K,CA,1,10,9,9,3,34
30 to 40,No,Some Travel,Technology,4,2.16,33,Information Systems,2,991F-BAF4,White,Leonelle,Non-Binary,2020,Qtr 4,November,4,Analytics Manager,Frost,Married,No,350024,Over 300K,IL,1,2,1,2,0,1
30 to 40,No,Some Travel,Technology,45,1.53,38,Information Systems,2,AA3A-EC19,White,Townsend,Male,2021,Qtr 2,June,22,Engineering Manager,Dunrige,Divorced,Yes,439935,Over 300K,CA,1,1,1,1,1,34
30 to 40,No,Some Travel,Technology,18,9.84,38,Information Systems,2,F662-DEA5,Black or African American,Morley,Male,2013,Qtr 1,March,1,Data Scientist,Dmitriev,Married,No,89362,B- 70K to 150K,CA,0,9,3,9,7,12
30 to 40,No,Some Travel,Technology,44,3.48,33,Information Systems,3,0846-2064,White,Hedvige,Non-Binary,2019,Qtr 3,July,9,Analytics Manager,De Wolfe,Single,No,230945,D- 225K to 300K,CA,0,3,0,2,0,34
30 to 40,No,Some Travel,Technology,26,9.28,33,Information Systems,3,0868-097F,White,Modesty,Non-Binary,2013,Qtr 3,September,23,Engineering Manager,Kingescot,Single,No,267009,D- 225K to 300K,CA,0,9,0,1,7,23
30 to 40,No,Some Travel,Technology,8,10.82,30,Information Systems,3,12B5-11CC,White,Vitoria,Female,2012,Qtr 1,March,8,Software Engineer,MacVaugh,Married,No,70771,B- 70K to 150K,IL,1,10,9,9,2,1
30 to 40,No,Some Travel,Technology,19,8.56,30,Information Systems,3,19C3-DAE4,Black or African American,Cristiano,Male,2014,Qtr 2,June,11,Data Scientist,Brugger,Married,No,53336,A- 20K to 70K,CA,1,8,3,3,7,12
30 to 40,No,Some Travel,Technology,4,10.74,36,Information Systems,3,21CB-EF3E,White,Eleanora,Female,2012,Qtr 2,April,7,Senior Software Engineer,Thornbarrow,Single,No,208338,C- 150K to 225K,CA,0,10,10,10,1,1
30 to 40,No,Some Travel,Technology,31,10.9,39,Information Systems,3,40A9-8EB0,White,Joannes,Female,2012,Qtr 1,February,7,Software Engineer,McFadden,Single,Yes,90017,B- 70K to 150K,CA,0,10,7,7,3,23
30 to 40,No,Some Travel,Technology,26,8.72,35,Information Systems,3,4A39-E8E6,White,Hernando,Male,2014,Qtr 2,April,15,Engineering Manager,Larkings,Married,No,311475,Over 300K,CA,0,8,0,0,2,23
30 to 40,No,Some Travel,Technology,26,9.72,30,Information Systems,3,618D-7685,White,Maridel,Female,2013,Qtr 2,April,15,Data Scientist,O'Hederscoll,Single,No,96170,B- 70K to 150K,CA,0,9,4,9,1,23
30 to 40,No,Some Travel,Technology,28,10.64,37,Information Systems,3,64D6-0D5F,Black or African American,Sherwood,Non-Binary,2012,Qtr 2,May,14,Analytics Manager,Furlow,Single,Yes,368494,Over 300K,CA,0,10,8,9,6,23
30 to 40,No,Some Travel,Technology,28,9.82,36,Information Systems,3,8026-658D,Black or African American,Dana,Male,2013,Qtr 1,March,7,Machine Learning Engineer,Lobb,Married,Yes,174019,C- 150K to 225K,NY,1,9,8,9,1,23
30 to 40,No,Some Travel,Technology,26,9.02,30,Information Systems,3,825E-0B3A,White,Kris,Male,2013,Qtr 4,December,27,Machine Learning Engineer,Barnes,Divorced,No,94791,B- 70K to 150K,NY,1,9,9,9,0,23
30 to 40,No,Some Travel,Technology,29,3.66,35,Information Systems,3,8892-77D8,Mixed or multiple ethnic groups,Rodrique,Male,2019,Qtr 2,May,4,Engineering Manager,Rohlfing,Divorced,Yes,519361,Over 300K,CA,1,3,2,3,1,23
30 to 40,No,Some Travel,Technology,30,0.04,40,Information Systems,3,8B55-CBEC,Black or African American,Symon,Male,2022,Qtr 4,December,18,Senior Software Engineer,Raisher,Married,No,291663,D- 225K to 300K,NY,0,0,0,0,0,23
30 to 40,No,Some Travel,Technology,8,0.24,32,Information Systems,3,964B-0E97,White,Dayna,Female,2022,Qtr 4,October,6,Senior Software Engineer,Hutchin,Married,No,111619,B- 70K to 150K,CA,2,0,0,0,0,1
30 to 40,No,Some Travel,Technology,24,9.73,32,Information Systems,3,9D3C-DA45,Native Hawaiian,Broddy,Male,2013,Qtr 2,April,12,Data Scientist,Jardine,Married,No,41857,A- 20K to 70K,CA,1,9,0,5,2,23
30 to 40,No,Some Travel,Technology,7,8.84,36,Information Systems,3,A31A-A90C,Black or African American,Aleksandr,Male,2014,Qtr 1,February,28,Data Scientist,Casetti,Divorced,Yes,46773,A- 20K to 70K,CA,1,8,7,8,2,1
30 to 40,No,Some Travel,Technology,7,9.25,35,Information Systems,3,A690-3D5D,Mixed or multiple ethnic groups,Lynea,Female,2013,Qtr 4,October,2,Senior Software Engineer,Ashurst,Divorced,Yes,253952,D- 225K to 300K,NY,1,9,9,9,4,1
30 to 40,No,Some Travel,Technology,33,8.9,32,Information Systems,3,CACA-0D62,Mixed or multiple ethnic groups,Zarla,Female,2014,Qtr 1,February,9,Data Scientist,Farrans,Married,No,121881,B- 70K to 150K,CA,2,8,7,8,8,23
30 to 40,No,Some Travel,Technology,26,8.9,40,Information Systems,3,D69C-8F84,Mixed or multiple ethnic groups,Sada,Female,2014,Qtr 1,February,6,Data Scientist,Torrent,Divorced,No,59899,A- 20K to 70K,CA,3,8,2,3,6,23
30 to 40,No,Some Travel,Technology,26,10.68,40,Information Systems,3,F93D-CB5A,Mixed or multiple ethnic groups,Zondra,Female,2012,Qtr 2,April,29,Senior Software Engineer,Duigenan,Single,No,120858,B- 70K to 150K,CA,0,10,9,9,8,23
30 to 40,No,Some Travel,Technology,10,2.02,36,Information Systems,4,12E5-9BD1,White,Kessiah,Female,2020,Qtr 4,December,24,Senior Software Engineer,Tallet,Divorced,No,297181,D- 225K to 300K,CA,1,2,2,2,2,1
30 to 40,No,Some Travel,Technology,8,10.98,35,Information Systems,4,277A-A6FA,Other,Annabela,Female,2012,Qtr 1,January,12,Machine Learning Engineer,Pablos,Single,No,272175,D- 225K to 300K,NY,0,10,7,8,2,1
30 to 40,No,Some Travel,Technology,36,10.95,30,Information Systems,4,469A-8121,American Indian or Alaska Native,Baxie,Male,2012,Qtr 1,January,20,Engineering Manager,Rising,Married,No,328415,Over 300K,CA,0,10,1,10,1,34
30 to 40,No,Some Travel,Technology,4,5.41,33,Information Systems,4,4C66-6E16,Black or African American,Niki,Male,2017,Qtr 3,August,3,Engineering Manager,Boseley,Single,No,335261,Over 300K,CA,0,5,5,5,0,1
30 to 40,No,Some Travel,Technology,10,2.97,38,Information Systems,4,5000-8203,White,Otha,Female,2020,Qtr 1,January,13,Analytics Manager,Lehrmann,Divorced,Yes,445906,Over 300K,CA,2,2,0,1,2,1
30 to 40,No,Some Travel,Technology,34,1.86,32,Information Systems,4,801E-9D0E,White,Shaw,Male,2021,Qtr 1,February,20,Software Engineer,McCaw,Single,No,439641,Over 300K,CA,0,1,0,1,1,34
30 to 40,No,Some Travel,Technology,40,8.48,37,Information Systems,4,9658-7750,American Indian or Alaska Native,Ray,Female,2014,Qtr 3,July,11,Data Scientist,Holbie,Married,No,49550,A- 20K to 70K,NY,3,8,2,8,6,34
30 to 40,No,Some Travel,Technology,28,0.48,31,Information Systems,4,A3AE-B510,White,Cameron,Male,2022,Qtr 3,July,7,Engineering Manager,Spencook,Single,Yes,353335,Over 300K,CA,1,0,0,0,0,23
30 to 40,No,Some Travel,Technology,11,1.14,37,Information Systems,4,B70F-B17D,White,Ragnar,Male,2021,Qtr 4,November,9,Senior Software Engineer,Grandisson,Single,No,211375,C- 150K to 225K,CA,1,1,1,1,0,1
30 to 40,No,Some Travel,Technology,39,10.86,38,Information Systems,4,E7A6-33A3,White,Amye,Female,2012,Qtr 1,February,23,Data Scientist,Townes,Married,No,83590,B- 70K to 150K,IL,1,10,2,3,9,34
